healthScore,maxNumberCommit,numberCommit,orgName,repoName
1.0,1,1.0,BrunoVukasovic,"BrunoVukasovic/fullstack_web_app_splittrip"
0.9794801641586868,731,716.0,dit-inc-us,dit-inc-us/Content
0.9791666666666666,48,47.0,memk,parkr/status
0.9736842105263158,76,74.0,cmharper,cmharper/outside
0.9733333333333334,150,146.0,supermobiteam2,supermobiteam2/Tizi
0.9722222222222222,72,70.0,supershell2019,supershell2019/conf
0.9642857142857143,28,27.0,HenrikBengtsson,UCSF-TI/TIPCC-slash
0.96,25,24.0,jonarbo,nyuad-hpc/dalman
0.9583333333333334,24,23.0,scriptzteam,"scriptzteam/UseNet-Newsgroups-Stats-v3"
0.9583333333333334,24,23.0,nghuyong,nghuyong/auto-commit
0.9583333333333334,24,23.0,efreesen,efreesen/experiment
0.9583333333333334,24,23.0,lejacobroy,"AsteroidLabs/asteroidlabs.github.io"
0.9583333333333334,24,23.0,koy1619,"koy1619/koy1619.github.com"
0.9583333333333334,24,23.0,labour-camp,"labour-camp/labour-camp.github.io"
0.9583333333333334,24,23.0,AleXu224,AleXu224/bptf_pricelist
0.9583333333333334,24,23.0,luxuze,luxuze/refresh
0.9583333333333334,24,23.0,reynaldoeg,reynaldoeg/cron-bash
0.9583333333333334,24,23.0,woodstock-erfurt,"woodstock-recordstore/woodstock-recordstore.github.io"
0.9583333333333334,24,23.0,ohh-haolin,"ohh-haolin/ohh-haolin.github.io"
0.9583333333333334,24,23.0,su-github-machine-user,"su-github-machine-user/github-nagios-check"
0.9583333333333334,24,23.0,matchavez,matchavez/mc
0.9583333333333334,24,23.0,semorrison,"leanprover-community/leanprover-community.github.io"
0.9583333333333334,24,23.0,aarvee11,"SecOps-Institute/Tor-IP-Addresses"
0.9583333333333334,24,23.0,j66666,j66666/my-contributions
0.9583333333333334,24,23.0,AceChenX,"UltracoldAtomsLab/chamber_log"
0.9583333333333334,24,23.0,martinwu42,martinwu42/pkuholebackup
0.9583333333333334,24,23.0,haocen-site,"haocen-site/haocen-site.github.io"
0.9583333333333334,24,23.0,Musk1993,Musk1993/autoCommit
0.9583333333333334,24,23.0,HeeYoungK,HeeYoungK/prng
0.9583333333333334,24,23.0,jlbl,UCSF-HPC/wynton-slash
0.9583333333333334,24,23.0,AceChenX,"UltracoldAtomsLab/weather_log"
0.9583333333333334,24,23.0,simonlingoogle,"simonlingoogle/openthread"
0.9583333333333334,24,23.0,lukemassa,lukemassa/jclubtakeaways
0.9583333333333334,24,23.0,victordion,victordion/GrassLand
0.9583333333333334,24,23.0,markhepburn,"IMASau/geoserver-config-rls"
0.9545454545454546,22,21.0,RuochenLyu,"RuochenLyu/ruochenlyu.github.io"
0.9523809523809523,21,20.0,anastasiia-kryshtop,vcsbroker/test-dev
0.95,20,19.0,tmelliott,tmelliott/realtimebuses
0.9444444444444444,18,17.0,syncmage,sourcemage/grimoire
0.9333333333333333,15,14.0,scripting,scripting/Scripting-News
0.9311594202898551,552,514.0,himobi,himobi/hotspot
0.9230769230769231,13,12.0,quannguyen234,"quannguyen234/dsc-pandas-series-and-dataframes-lab-nyc-ds-082619"
0.9230769230769231,26,24.0,matosama,silvernoo/ac-rss
0.9230769230769231,26,24.0,mmmb1,mmmb1/single_en
0.9230769230769231,26,24.0,petertodd,"opentimestamps/nist-inject"
0.9230769230769231,26,24.0,ll911,bcgov/dbcrss
0.92,25,23.0,xywang84,"xywang84/xywang84.github.io"
0.92,25,23.0,uqs,freebsd/freebsd
0.92,25,23.0,enosysau,enosysau/enointel-beta
0.92,25,23.0,gfw-breaker,"begood0513/begood0513.github.io"
0.9166666666666666,24,22.0,vscode-issue-tracker-bot,"lannonbr/vscode-issue-tracker"
0.9166666666666666,12,11.0,louis-chymia,gazhayes/bcp.ninja
0.9166666666666666,48,44.0,thefallentree,thefallentree/oow1
0.9166666666666666,12,11.0,qwerend,qwerend/1f-tv_s_rec
0.9166666666666666,24,22.0,godber,"desertpy/desertpy-pelican"
0.9166666666666666,12,11.0,r15ch13,ScoopInstaller/Main
0.9166666666666666,24,22.0,aaronpk,"indieweb/indieweb-chat-archive"
0.9130434782608695,23,21.0,poolpOrg,Mailbrix/lists
0.9117647058823529,102,93.0,milafrerichs,"open-data-city-census/open-data-city-census.github.io"
0.9090909090909091,11,10.0,smkell,smkell/ffl_faust
0.9090909090909091,11,10.0,lfd-lists,"linux-mailinglist-archives/qemu-devel.nongnu.org.0"
0.9076923076923077,65,59.0,wideyu,wideyu/kbox
0.9,10,9.0,numiko-dev,numiko/packagist
0.9,10,9.0,camwatson,"camwatson/SpatialDataSets"
0.9,10,9.0,alexcrichton,"rust-lang/crates.io-index"
0.9,20,18.0,yuangezhizao,"yuangezhizao/bilibili_splash_fetch_data"
0.9,10,9.0,niceirene225,niceirene225/bot2
0.8947368421052632,19,17.0,nigeldurham,nigeldurham/ux
0.89198606271777,287,256.0,geos4s,geos4s/18w856162
0.8888888888888888,9,8.0,github-actions[bot],fredj/dg-price-tracker
0.8888888888888888,9,8.0,speedtracker-bot,pixers/speedtracker
0.8888888888888888,9,8.0,DSMJR,DSMJR/dsmrepo
0.8846153846153846,26,23.0,surfnet-niels,InAcademia/idp_hint
0.8846153846153846,26,23.0,mmmb1,mmmb1/single_fa
0.8846153846153846,26,23.0,simonw,simonw/pge-outages
0.8823529411764706,17,15.0,Buildstarted,"Buildstarted/linksfordevs"
0.88,25,22.0,ericmacau,ericmacau/mark6
0.8792270531400966,414,364.0,pakeji,pequet/public-logs
0.8771929824561403,57,50.0,yeaheo,yeaheo/gcr.io
0.875,16,14.0,jimbob666,jimbob666/aqi
0.875,24,21.0,making-bot,categolj/accesslog
0.875,8,7.0,apulijala,"apulijala/linux-commands-editors-shell-programming"
0.875,8,7.0,Brainzman,"rDankMemes/Minecraft-Server"
0.875,8,7.0,katconfiguser,ska-sa/katexternaldata
0.875,8,7.0,samber,samber/powEUr
0.875,8,7.0,scv1225,scv1225/repository2
0.875,24,21.0,losalamosal,"losalamosal/kap-dash-ispeed"
0.875,8,7.0,forosuru,"forosuru/forosuru.github.io"
0.875,24,21.0,tonyxiahua,"tonyxiahua/ForgeMinecraft_Xia"
0.875,184,161.0,hsntgm,hsntgm/gentoo
0.8695652173913043,23,20.0,robotoffsideio,offsideio/records
0.8636363636363636,22,19.0,CurrencyKeypirinha,"CurrencyKeypirinha/currency-exchange"
0.8571428571428571,7,6.0,lanternpro,lanternpro/intro
0.8571428571428571,7,6.0,solomonp90,"solomonp90/ruby-enumerables-cartoon-collections-lab-dumbo-web-091619"
0.8571428571428571,7,6.0,tomikonio,tomikonio/blueteam
0.8529411764705882,34,29.0,MlgmXyysd,"ElderDrivers/Repository-Website"
0.8529411764705882,34,29.0,watsona4,watsona4/dot_julia
0.8529411764705882,34,29.0,scriptzteam,"scriptzteam/newzNZB-Usenet-Upload-Logger-v1.1"
0.8529411764705882,34,29.0,ProjectPete,technet2/Sentinel
0.8529411764705882,34,29.0,dongs365,dongs365/docker
0.8518518518518519,54,46.0,postgresql-cfbot,"postgresql-cfbot/postgresql"
0.85,20,17.0,mcabioch,mcabioch/Minecraft
0.85,20,17.0,mmittlb,mmittlb/pywde1
0.8488372093023255,172,146.0,15600995244,jdcloudcom/MKTContent
0.8484848484848485,33,28.0,"signcla-test-signed-indiv","google-test2/signcla-probe-repo"
0.8461538461538461,13,11.0,ninadecoder,"ninadecoder/ruby-music-library-cli-online-web-pt-061019"
0.8421052631578947,19,16.0,keulpu,keulpu/bossbotDB
0.8409090909090909,88,74.0,pakeji,pequet/alts-retracements
0.84,25,21.0,eth-products,eth-products/eth-invest
0.84,25,21.0,davvs,davvs/davvs.github.io
0.8333333333333334,12,10.0,newstools,newstools/2019-this-day
0.8333333333333334,6,5.0,swaggerHubTest,swaggerHubTest/selenium
0.8333333333333334,24,20.0,Noltari,Noltari/openwrt-packages
0.8333333333333334,6,5.0,cryptobigbro,"cryptobigbro/bitmex-XRPU19"
0.8333333333333334,6,5.0,cryptobigbro,"cryptobigbro/bitmex-BCHU19"
0.8333333333333334,12,10.0,vpcn,vpcn/node
0.8333333333333334,24,20.0,gfw-breaker,gfw-breaker/mh-news
0.8333333333333334,6,5.0,magumboi,magumboi/maincra-server
0.8333333333333334,6,5.0,madebr,madebr/openrw-irc
0.8333333333333334,6,5.0,cryptobigbro,"cryptobigbro/coinbasepro-XLM-EUR"
0.8333333333333334,6,5.0,Sigoku14,Sigoku14/storeManager
0.8333333333333334,24,20.0,cp2141,"dvstats/dvstats.github.io"
0.8333333333333334,6,5.0,JamesGosling,"JamesGosling/SailingForecast"
0.8333333333333334,24,20.0,Itzblend,"Itzblend/Itzblend.github.io"
0.8333333333333334,24,20.0,lacostej,DragonBox/unities
0.8275862068965517,29,24.0,docker-library-bot,docker-library/docs
0.8260869565217391,23,19.0,gfw-breaker,begood0513/goodnews
0.825,80,66.0,weirdcalculator,"weirdcalculator/wptdolphin"
0.8214285714285714,252,207.0,LGA1150,LGA1150/openwrt
0.8181818181818182,11,9.0,ahtwq,ahtwq/getIp
0.8181818181818182,11,9.0,CocoaPodsBot,CocoaPods/Specs
0.8181818181818182,44,36.0,diplodata,"diplodata/gdelt-test-jsonfeed"
0.8181818181818182,11,9.0,andiosika,"andiosika/evaluating-regression-lines-lab-data-science-intro-000"
0.8095238095238095,21,17.0,kaopunews,"kaopunews/kaopu-news-pages"
0.8085106382978723,47,38.0,zeit-github-tester[bot],"zeit-github-test/github-e2e-tests-production"
0.8076923076923077,26,21.0,cori-hendon,"cori-hendon/OptGeo_ServerStat"
0.8076923076923077,26,21.0,gugod,"g0v-data/mirror-10minutely"
0.8,5,4.0,Mizulyn,"Mizulyn/Favorite-Sanrio-Character-Picker"
0.8,5,4.0,yorkLiu,yorkLiu/News
0.8,5,4.0,szescxz,"SerCom-KC/cartoon-network-videos"
0.8,10,8.0,pull[bot],3Golds/netdata
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-ETH-DAI"
0.8,5,4.0,rafaeluzzi,"rafaeluzzi/citywiz-landing"
0.8,5,4.0,cryptobigbro,"cryptobigbro/bitmex-TRXU19"
0.8,5,4.0,cryptobigbro,"cryptobigbro/bitmex-EOSU19"
0.8,5,4.0,cryptobigbro,"cryptobigbro/bitmex-ADAU19"
0.8,5,4.0,qm-deploy,"qm-deploy/docker-analytics-tests"
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-XTZ-USD"
0.8,5,4.0,lovell,lovell/sharp-libvips
0.8,5,4.0,snoopycrimecop,"snoopycrimecop/prod-playbooks"
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-XRP-BTC"
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-ETH-GBP"
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-REP-USD"
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-LTC-EUR"
0.8,5,4.0,cryptobigbro,"cryptobigbro/coinbasepro-LTC-USD"
0.8,10,8.0,openset,openset/hosts
0.8,5,4.0,Animtim,gcompris/GCompris-qt
0.8,10,8.0,javsterati,"javsterati/hs-js-cartoon-collections-js-cartoon-collections-000"
0.8,5,4.0,MacStrelioff,"MacStrelioff/macstrelioff.github.io"
0.8,10,8.0,wideyu,wideyu/gstt
0.8,5,4.0,mikepsinn,"mikepsinn/docker-analytics-tests"
0.8,10,8.0,Rochet2,Rochet2/TrinityCore
0.8,5,4.0,chefnewman,"chefnewman/nearest-neighbors-lab-data-science-intro-000"
0.8,5,4.0,bitbaybot,bitbaymarket/ratedb
0.8,5,4.0,charlyx,gatsbyjs/gatsby
0.7916666666666666,24,19.0,AntoineAugusti,"AntoineAugusti/tweets-rerb"
0.7870370370370371,108,85.0,direwolf-github,direwolf-github/my-app
0.7857142857142857,14,11.0,sdjkjh,sdjkjh/repository2
0.782608695652174,23,18.0,kenmickles,"fightforthefuture/defendcrypto.org"
0.7777777777777778,9,7.0,yarastqt,"yarastqt/storybook-addons"
0.7777777777777778,9,7.0,galenzhao,"zhenggangzhao/mcpcmap.github.io"
0.7777777777777778,9,7.0,oxr463,oxr463/gentoo
0.7777777777777778,9,7.0,dzackgarza,dzackgarza/Notes
0.7777777777777778,9,7.0,gentoo-bot,gentoo/gentoo
0.7755102040816326,49,38.0,ontouchstart,mocaspike150/leaderboard
0.7727272727272727,44,34.0,pbaffiliate10,"pbaffiliate10/repoTestCheckout"
0.7727272727272727,22,17.0,sourceconnect-tests,"sourceconnect-testing/reposync"
0.7692307692307693,104,80.0,gugod,g0v-data/mirror-minutely
